locationID,continent,country,stateProvince,county,countryCode,isCustomRegion,verbatimCountry,verbatimLocationID,verbatimISO3,countryCode.1
GEO_17698898B37192900102961,Asia,Afghanistan,Balkh,Zari,AF,No,Afghanistan,{17698898B37192900102961},AFG,AF
GEO_17698898B60484555786592,Asia,Afghanistan,Bamyan,Bamyan,AF,No,Afghanistan,{17698898B60484555786592},AFG,AF
GEO_17698898B38280205315717,Asia,Afghanistan,Bamyan,Kahmard,AF,No,Afghanistan,{17698898B38280205315717},AFG,AF
GEO_17698898B8527713612096,Asia,Afghanistan,Bamyan,Panjab,AF,No,Afghanistan,{17698898B8527713612096},AFG,AF
GEO_17698898B65207327485001,Asia,Afghanistan,Bamyan,Sayghan,AF,No,Afghanistan,{17698898B65207327485001},AFG,AF
GEO_17698898B92886105415602,Asia,Afghanistan,Bamyan,Shibar,AF,No,Afghanistan,{17698898B92886105415602},AFG,AF
GEO_17698898B34980340314796,Asia,Afghanistan,Bamyan,Waras,AF,No,Afghanistan,{17698898B34980340314796},AFG,AF
GEO_17698898B2066778831749,Asia,Afghanistan,Bamyan,Yakawlang,AF,No,Afghanistan,{17698898B2066778831749},AFG,AF
GEO_17698898B68976671585509,Asia,Afghanistan,Daykundi,Gaiti,AF,No,Afghanistan,{17698898B68976671585509},AFG,AF
GEO_17698898B77867409932082,Asia,Afghanistan,Daykundi,Gizab,AF,No,Afghanistan,{17698898B77867409932082},AFG,AF
GEO_17698898B83390857552519,Asia,Afghanistan,Daykundi,Ishtarlay,AF,No,Afghanistan,{17698898B83390857552519},AFG,AF
GEO_17698898B11793530317199,Asia,Afghanistan,Daykundi,Kajran,AF,No,Afghanistan,{17698898B11793530317199},AFG,AF
GEO_17698898B85896963055106,Asia,Afghanistan,Daykundi,Khadir,AF,No,Afghanistan,{17698898B85896963055106},AFG,AF
GEO_17698898B99775155489299,Asia,Afghanistan,Daykundi,Miramor,AF,No,Afghanistan,{17698898B99775155489299},AFG,AF
GEO_17698898B71478968309259,Asia,Afghanistan,Daykundi,Nili,AF,No,Afghanistan,{17698898B71478968309259},AFG,AF
GEO_17698898B86995719870790,Asia,Afghanistan,Daykundi,Sangi Takht,AF,No,Afghanistan,{17698898B86995719870790},AFG,AF
GEO_17698898B15040398145446,Asia,Afghanistan,Daykundi,Shahristan,AF,No,Afghanistan,{17698898B15040398145446},AFG,AF
GEO_17698898B63284847438017,Asia,Afghanistan,Farah,Anar Dara,AF,No,Afghanistan,{17698898B63284847438017},AFG,AF
GEO_17698898B63900733266218,Asia,Afghanistan,Farah,Bakwa,AF,No,Afghanistan,{17698898B63900733266218},AFG,AF
GEO_17698898B60738219309416,Asia,Afghanistan,Farah,Bala Buluk,AF,No,Afghanistan,{17698898B60738219309416},AFG,AF
GEO_17698898B12847742424468,Asia,Afghanistan,Farah,Farah,AF,No,Afghanistan,{17698898B12847742424468},AFG,AF
GEO_17698898B61842936481586,Asia,Afghanistan,Farah,Gulistan,AF,No,Afghanistan,{17698898B61842936481586},AFG,AF
GEO_17698898B43056583417710,Asia,Afghanistan,Farah,Khaki Safed,AF,No,Afghanistan,{17698898B43056583417710},AFG,AF
GEO_17698898B12487072568653,Asia,Afghanistan,Farah,Lash Wa Juwayn,AF,No,Afghanistan,{17698898B12487072568653},AFG,AF
GEO_17698898B41043106697334,Asia,Afghanistan,Farah,Pur Chaman,AF,No,Afghanistan,{17698898B41043106697334},AFG,AF
